question_id,question,ground_truth,contexts,evolution_type,review_status
25,What does Lab 24 say about faithfulness?,Faithfulness measures whether the answer is supported by retrieved context.,"[""Faithfulness measures whether the answer is supported by retrieved context.""]",simple,generated
26,Why is answer relevancy important for a production RAG system?,Answer relevancy measures whether the answer directly addresses the user's question. It helps detect regressions before unsafe or low-quality answers reach users.,"[""Answer relevancy measures whether the answer directly addresses the user's question."", ""Production systems need automated checks and incident response.""]",reasoning,generated
27,Why is context precision important for a production RAG system?,Context precision measures whether top retrieved chunks are useful and ranked well. It helps detect regressions before unsafe or low-quality answers reach users.,"[""Context precision measures whether top retrieved chunks are useful and ranked well."", ""Production systems need automated checks and incident response.""]",reasoning,generated
28,Why is context recall important for a production RAG system?,Context recall measures whether the retrieved context contains information needed for the answer. It helps detect regressions before unsafe or low-quality answers reach users.,"[""Context recall measures whether the retrieved context contains information needed for the answer."", ""Production systems need automated checks and incident response.""]",reasoning,generated
29,Why is pairwise judge important for a production RAG system?,Pairwise judging compares two answers and mitigates position bias by swapping order. It helps detect regressions before unsafe or low-quality answers reach users.,"[""Pairwise judging compares two answers and mitigates position bias by swapping order."", ""Production systems need automated checks and incident response.""]",reasoning,generated
30,Why is cohen kappa important for a production RAG system?,Cohen's kappa estimates agreement between human labels and judge labels beyond chance. It helps detect regressions before unsafe or low-quality answers reach users.,"[""Cohen's kappa estimates agreement between human labels and judge labels beyond chance."", ""Production systems need automated checks and incident response.""]",reasoning,generated
31,Why is pii redaction important for a production RAG system?,"PII redaction removes emails, phone numbers, citizen IDs, tax codes, names, and addresses. It helps detect regressions before unsafe or low-quality answers reach users.","[""PII redaction removes emails, phone numbers, citizen IDs, tax codes, names, and addresses."", ""Production systems need automated checks and incident response.""]",reasoning,generated
32,Why is topic guard important for a production RAG system?,A topic validator refuses requests outside the RAG evaluation and guardrail scope. It helps detect regressions before unsafe or low-quality answers reach users.,"[""A topic validator refuses requests outside the RAG evaluation and guardrail scope."", ""Production systems need automated checks and incident response.""]",reasoning,generated
33,Why is prompt injection important for a production RAG system?,Prompt injection attacks try to override system instructions or hidden policies. It helps detect regressions before unsafe or low-quality answers reach users.,"[""Prompt injection attacks try to override system instructions or hidden policies."", ""Production systems need automated checks and incident response.""]",reasoning,generated
34,Why is llama guard important for a production RAG system?,Llama Guard checks assistant outputs for safety categories before returning them to users. It helps detect regressions before unsafe or low-quality answers reach users.,"[""Llama Guard checks assistant outputs for safety categories before returning them to users."", ""Production systems need automated checks and incident response.""]",reasoning,generated
35,Why is latency benchmark important for a production RAG system?,"Latency benchmark reports P50, P95, and P99 for each guardrail layer. It helps detect regressions before unsafe or low-quality answers reach users.","[""Latency benchmark reports P50, P95, and P99 for each guardrail layer."", ""Production systems need automated checks and incident response.""]",reasoning,generated
36,Why is audit log important for a production RAG system?,"Audit logs store inputs, decisions, timings, and guardrail labels for debugging. It helps detect regressions before unsafe or low-quality answers reach users.","[""Audit logs store inputs, decisions, timings, and guardrail labels for debugging."", ""Production systems need automated checks and incident response.""]",reasoning,generated
37,Why is faithfulness important for a production RAG system?,Faithfulness measures whether the answer is supported by retrieved context. It helps detect regressions before unsafe or low-quality answers reach users.,"[""Faithfulness measures whether the answer is supported by retrieved context."", ""Production systems need automated checks and incident response.""]",reasoning,generated
38,Why is answer relevancy important for a production RAG system?,Answer relevancy measures whether the answer directly addresses the user's question. It helps detect regressions before unsafe or low-quality answers reach users.,"[""Answer relevancy measures whether the answer directly addresses the user's question."", ""Production systems need automated checks and incident response.""]",reasoning,generated
39,How should context precision and context recall work together in Lab 24?,Context precision measures whether top retrieved chunks are useful and ranked well. Context recall measures whether the retrieved context contains information needed for the answer. Together they create defense in depth.,"[""Context precision measures whether top retrieved chunks are useful and ranked well."", ""Context recall measures whether the retrieved context contains information needed for the answer.""]",multi_context,generated
40,How should context recall and pairwise judge work together in Lab 24?,Context recall measures whether the retrieved context contains information needed for the answer. Pairwise judging compares two answers and mitigates position bias by swapping order. Together they create defense in depth.,"[""Context recall measures whether the retrieved context contains information needed for the answer."", ""Pairwise judging compares two answers and mitigates position bias by swapping order.""]",multi_context,generated
41,How should pairwise judge and cohen kappa work together in Lab 24?,Pairwise judging compares two answers and mitigates position bias by swapping order. Cohen's kappa estimates agreement between human labels and judge labels beyond chance. Together they create defense in depth.,"[""Pairwise judging compares two answers and mitigates position bias by swapping order."", ""Cohen's kappa estimates agreement between human labels and judge labels beyond chance.""]",multi_context,generated
42,How should cohen kappa and pii redaction work together in Lab 24?,"Cohen's kappa estimates agreement between human labels and judge labels beyond chance. PII redaction removes emails, phone numbers, citizen IDs, tax codes, names, and addresses. Together they create defense in depth.","[""Cohen's kappa estimates agreement between human labels and judge labels beyond chance."", ""PII redaction removes emails, phone numbers, citizen IDs, tax codes, names, and addresses.""]",multi_context,generated
43,How should pii redaction and topic guard work together in Lab 24?,"PII redaction removes emails, phone numbers, citizen IDs, tax codes, names, and addresses. A topic validator refuses requests outside the RAG evaluation and guardrail scope. Together they create defense in depth.","[""PII redaction removes emails, phone numbers, citizen IDs, tax codes, names, and addresses."", ""A topic validator refuses requests outside the RAG evaluation and guardrail scope.""]",multi_context,generated
44,How should topic guard and prompt injection work together in Lab 24?,A topic validator refuses requests outside the RAG evaluation and guardrail scope. Prompt injection attacks try to override system instructions or hidden policies. Together they create defense in depth.,"[""A topic validator refuses requests outside the RAG evaluation and guardrail scope."", ""Prompt injection attacks try to override system instructions or hidden policies.""]",multi_context,generated
45,How should prompt injection and llama guard work together in Lab 24?,Prompt injection attacks try to override system instructions or hidden policies. Llama Guard checks assistant outputs for safety categories before returning them to users. Together they create defense in depth.,"[""Prompt injection attacks try to override system instructions or hidden policies."", ""Llama Guard checks assistant outputs for safety categories before returning them to users.""]",multi_context,generated
46,How should llama guard and latency benchmark work together in Lab 24?,"Llama Guard checks assistant outputs for safety categories before returning them to users. Latency benchmark reports P50, P95, and P99 for each guardrail layer. Together they create defense in depth.","[""Llama Guard checks assistant outputs for safety categories before returning them to users."", ""Latency benchmark reports P50, P95, and P99 for each guardrail layer.""]",multi_context,generated
47,How should latency benchmark and audit log work together in Lab 24?,"Latency benchmark reports P50, P95, and P99 for each guardrail layer. Audit logs store inputs, decisions, timings, and guardrail labels for debugging. Together they create defense in depth.","[""Latency benchmark reports P50, P95, and P99 for each guardrail layer."", ""Audit logs store inputs, decisions, timings, and guardrail labels for debugging.""]",multi_context,generated
48,How should audit log and faithfulness work together in Lab 24?,"Audit logs store inputs, decisions, timings, and guardrail labels for debugging. Faithfulness measures whether the answer is supported by retrieved context. Together they create defense in depth.","[""Audit logs store inputs, decisions, timings, and guardrail labels for debugging."", ""Faithfulness measures whether the answer is supported by retrieved context.""]",multi_context,generated
49,How should faithfulness and answer relevancy work together in Lab 24?,Faithfulness measures whether the answer is supported by retrieved context. Answer relevancy measures whether the answer directly addresses the user's question. Together they create defense in depth.,"[""Faithfulness measures whether the answer is supported by retrieved context."", ""Answer relevancy measures whether the answer directly addresses the user's question.""]",multi_context,generated
50,How should answer relevancy and context precision work together in Lab 24?,Answer relevancy measures whether the answer directly addresses the user's question. Context precision measures whether top retrieved chunks are useful and ranked well. Together they create defense in depth.,"[""Answer relevancy measures whether the answer directly addresses the user's question."", ""Context precision measures whether top retrieved chunks are useful and ranked well.""]",multi_context,generated
