question_id,question,answer_a,answer_b,run1_winner,run1_reason,run2_winner,run2_reason,winner_after_swap
15,What does Lab 24 say about context precision?,Context precision measures whether top retrieved chunks are useful and ranked well.,Context precision measures whether top retrieved chunks are useful and ranked well. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
16,What does Lab 24 say about context recall?,Context recall measures whether the retrieved context contains information needed for the answer.,Context recall measures whether the retrieved context contains information needed for the answer. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
17,What does Lab 24 say about pairwise judge?,Pairwise judging compares two answers and mitigates position bias by swapping order.,Pairwise judging compares two answers and mitigates position bias by swapping order. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
18,What does Lab 24 say about cohen kappa?,Cohen's kappa estimates agreement between human labels and judge labels beyond chance.,Cohen's kappa estimates agreement between human labels and judge labels beyond chance. This version also names the guardrail or metric used in production.,A,Answer selected for factual coverage and relevance.,A,Swapped order to reduce position bias.,A
19,What does Lab 24 say about pii redaction?,"PII redaction removes emails, phone numbers, citizen IDs, tax codes, names, and addresses.","PII redaction removes emails, phone numbers, citizen IDs, tax codes, names, and addresses. This version also names the guardrail or metric used in production.",A,Answer selected for factual coverage and relevance.,A,Swapped order to reduce position bias.,A
20,What does Lab 24 say about topic guard?,A topic validator refuses requests outside the RAG evaluation and guardrail scope.,A topic validator refuses requests outside the RAG evaluation and guardrail scope. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
21,What does Lab 24 say about prompt injection?,Prompt injection attacks try to override system instructions or hidden policies.,Prompt injection attacks try to override system instructions or hidden policies. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,A,Swapped order to reduce position bias.,tie
22,What does Lab 24 say about llama guard?,Llama Guard checks assistant outputs for safety categories before returning them to users.,Llama Guard checks assistant outputs for safety categories before returning them to users. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
23,What does Lab 24 say about latency benchmark?,"Latency benchmark reports P50, P95, and P99 for each guardrail layer.","Latency benchmark reports P50, P95, and P99 for each guardrail layer. This version also names the guardrail or metric used in production.",A,Answer selected for factual coverage and relevance.,A,Swapped order to reduce position bias.,A
24,What does Lab 24 say about audit log?,"Audit logs store inputs, decisions, timings, and guardrail labels for debugging.","Audit logs store inputs, decisions, timings, and guardrail labels for debugging. This version also names the guardrail or metric used in production.",A,Answer selected for factual coverage and relevance.,A,Swapped order to reduce position bias.,A
25,What does Lab 24 say about faithfulness?,Faithfulness measures whether the answer is supported by retrieved context.,Faithfulness measures whether the answer is supported by retrieved context. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
26,Why is answer relevancy important for a production RAG system?,Answer relevancy measures whether the answer directly addresses the user's question. It helps detect regressions before unsafe or low-quality answers reach users.,Answer relevancy measures whether the answer directly addresses the user's question. It helps detect regressions before unsafe or low-quality answers reach users. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
27,Why is context precision important for a production RAG system?,Context precision measures whether top retrieved chunks are useful and ranked well. It helps detect regressions before unsafe or low-quality answers reach users.,Context precision measures whether top retrieved chunks are useful and ranked well. It helps detect regressions before unsafe or low-quality answers reach users. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
28,Why is context recall important for a production RAG system?,Context recall measures whether the retrieved context contains information needed for the answer. It helps detect regressions before unsafe or low-quality answers reach users.,Context recall measures whether the retrieved context contains information needed for the answer. It helps detect regressions before unsafe or low-quality answers reach users. This version also names the guardrail or metric used in production.,A,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,tie
29,Why is pairwise judge important for a production RAG system?,Pairwise judging compares two answers and mitigates position bias by swapping order. It helps detect regressions before unsafe or low-quality answers reach users.,Pairwise judging compares two answers and mitigates position bias by swapping order. It helps detect regressions before unsafe or low-quality answers reach users. This version also names the guardrail or metric used in production.,A,Answer selected for factual coverage and relevance.,A,Swapped order to reduce position bias.,A
30,Why is cohen kappa important for a production RAG system?,Cohen's kappa estimates agreement between human labels and judge labels beyond chance. It helps detect regressions before unsafe or low-quality answers reach users.,Cohen's kappa estimates agreement between human labels and judge labels beyond chance. It helps detect regressions before unsafe or low-quality answers reach users. This version also names the guardrail or metric used in production.,B,Answer selected for factual coverage and relevance.,B,Swapped order to reduce position bias.,B
